Area Code,Year Code,Value
56,1968,70015
56,1969,71466
56,1970,78490
56,1971,80147
56,1972,79124
56,1973,79863
56,1974,80941
56,1975,78900
56,1976,83500
56,1977,83500
56,1978,76200
56,1979,85600
56,1980,86300
56,1981,80900
56,1982,74600
56,1983,68300
56,1984,63315
56,1985,73181
56,1986,74433
56,1987,71316
56,1988,70367
56,1989,70620
56,1990,72121
56,1991,71907
56,1992,74896
56,1993,81876
56,1994,84220
56,1995,88136
56,1996,109421
56,1997,111583
56,1998,94902
56,1999,95180
56,2000,143949
56,2001,77150
56,2002,99016
56,2003,170370
56,2004,151087
56,2005,116640
56,2006,133046
56,2007,135495
56,2008,121203
56,2009,151530
56,2010,167052
56,2011,176148
56,2016,168106
56,2017,169879
56,2018,177000
56,2019,178574
58,1986,168147
58,1991,147802
58,1992,147949
58,1993,167611
58,1994,162036
58,1995,152025
58,1996,174710
58,1998,161001
58,1999,173910
58,2003,130780
58,2005,141428
58,2006,113555
58,2007,119954
58,2008,109763
58,2009,114265
58,2010,109475
58,2011,96218
58,2012,113626
58,2013,109912
58,2016,153548
58,2018,176002
60,1961,40200
60,1962,41200
60,1963,42050
60,1964,44250
60,1965,45200
60,1966,45900
60,1967,52850
60,1968,48350
60,1969,54032
60,1970,54700
60,1971,52350
60,1972,54450
60,1973,55700
60,1974,56700
60,1975,63646
60,1976,64312
60,1977,69821
60,1978,118525
60,1979,118050
60,1980,119512
60,1981,126230
60,1982,127072
60,1983,140726
60,1984,123140
60,1985,123222
60,1986,126383
60,1987,121705
60,1988,111130
60,1989,120910
60,1990,132804
60,1991,151204
60,1992,150200
60,1993,151400
60,1994,152460
60,1995,117902
60,1996,59522
60,1997,63739
60,1998,55047
60,1999,64207
60,2000,65258
60,2001,94769
60,2002,77491
60,2003,66311
60,2004,81771
60,2005,102009
60,2006,110190
60,2007,123534
60,2008,134652
60,2009,134999
60,2010,69694
60,2011,69096
60,2012,124505
60,2013,90952
60,2014,85995
60,2015,88083
60,2016,92539
60,2017,96906
60,2018,89277
60,2019,86540
63,2018,0
63,2019,0
209,1961,25500
209,1962,25500
209,1963,27000
209,1964,29500
209,1965,30500
209,1966,30000
209,1967,45000
209,1968,56000
209,1969,66000
209,1970,78000
209,1971,79000
209,1972,86000
209,1973,88000
209,1974,82000
209,1975,82000
209,1976,85000
209,1977,82000
209,1978,83000
209,1979,89000
209,1980,81000
209,1981,92000
209,1982,84000
209,1983,83000
209,1984,81000
209,1985,85000
209,1986,85000
209,1987,87000
209,1988,85000
209,1989,70000
209,1990,87000
209,1991,71000
209,1992,87000
209,1993,55000
209,1994,94605
209,1995,65339
209,1996,67974
209,1997,84703
209,1998,57250
209,1999,81000
209,2000,74961
209,2001,75414
209,2002,78390
209,2003,83154
209,2004,84048
209,2005,80806
209,2006,77734
209,2007,82110
209,2008,73865
209,2009,72866
209,2010,93787
209,2011,96560
209,2012,98736
209,2013,90066
209,2014,94097
209,2015,92151
209,2016,92844
209,2017,94235
209,2018,95277
209,2019,96269
238,1993,30567
238,1994,31500
238,1995,30876
238,1996,30751
238,1997,31112
238,1998,30096
238,1999,30095
238,2000,29100
238,2001,24933
238,2002,23836
238,2003,24386
238,2004,29365
238,2005,65927
238,2006,64016
238,2007,61321
238,2008,45847
238,2009,62056
238,2010,60906
238,2011,69333
238,2012,54063
238,2013,50544
238,2014,51735
238,2015,50496
238,2016,40154
238,2017,50004
238,2018,62058
238,2019,48867
62,1961,11000
62,1962,13000
62,1963,13000
62,1964,15000
62,1965,16000
62,1966,16500
62,1967,18000
62,1968,18500
62,1969,19000
62,1970,19500
62,1971,20500
62,1972,21000
62,1973,21000
62,1974,21200
62,1975,21200
62,1976,21500
62,1977,21500
62,1978,21800
62,1979,21800
62,1980,22100
62,1981,22400
62,1982,22700
62,1983,23000
62,1984,23300
62,1985,23600
62,1986,23900
62,1987,24200
62,1988,25400
62,1989,26600
62,1990,27300
62,1991,28000
62,1992,28700
66,1961,200
66,1962,500
66,1963,800
66,1964,150
66,1965,350
66,1966,200
66,1967,400
66,1968,500
66,1969,200
66,1970,400
66,1971,600
66,1972,300
66,1973,400
66,1974,200
66,1975,800
66,1976,600
66,1977,150
66,1978,500
66,1979,300
66,1980,200
66,1981,600
66,1982,400
66,1983,200
66,1984,700
66,1985,500
66,1986,200
66,1987,183
66,1988,665
66,1989,431
66,1990,526
66,1991,400
66,1992,371
66,1993,400
66,1994,500
66,1995,474
66,1996,452
66,1997,500
66,1998,644
66,1999,700
66,2000,547
66,2001,464
66,2002,350
66,2003,34
66,2004,216
66,2005,339
66,2006,137
66,2007,257
66,2008,74
66,2009,27
66,2010,95
66,2011,98
66,2012,97
66,2013,97
66,2014,1240
66,2015,1421
66,2016,690
66,2017,684
66,2018,990
66,2019,995
67,2018,0
67,2019,0
68,1961,2500
68,1962,2790
68,1963,3160
68,1964,3670
68,1965,2530
68,1966,5710
