Area Code,Year Code,Value
107,2012,46549
107,2013,47914
107,2014,49342
107,2015,50900
107,2016,52400
107,2017,54100
107,2018,54625
107,2019,52232
49,1961,142000
49,1982,177376
49,1984,162335
49,1985,178086
49,1986,149967
49,1988,163546
116,1961,110000
116,1962,114000
116,1963,120000
116,1964,124000
116,1965,128000
116,1966,128000
116,1967,130000
116,1968,132000
116,1969,134000
116,1970,136000
116,1971,140000
116,1972,146000
116,1973,150000
116,1974,160000
116,1975,166000
116,1976,172000
116,1977,180000
116,1993,136000
116,1995,144000
116,1996,172000
55,1961,500
55,1962,500
55,1963,550
55,1964,550
55,1965,550
55,1966,600
55,1967,600
55,1968,550
55,1969,550
55,1970,500
55,1971,550
55,1972,550
55,1973,550
55,1974,600
55,1975,600
55,1976,600
55,1977,650
55,1978,1000
55,1979,1559
55,1980,1760
55,1981,1725
55,1982,1698
55,1983,1604
55,1984,1632
55,1985,1664
55,1986,1791
55,1987,1792
55,1988,1732
55,1989,1287
55,1990,1743
55,1991,1271
55,1992,1262
55,1993,1646
55,1994,1500
55,1995,1600
55,1996,1675
55,1997,1800
55,1998,1763
55,1999,1787
55,2000,1850
55,2001,1840
55,2002,1868
55,2003,1898
55,2004,1929
55,2005,1961
55,2006,1993
55,2007,2025
55,2008,2056
55,2009,2086
55,2010,2114
55,2011,2141
55,2012,2200
55,2013,2200
55,2014,2224
55,2015,2289
55,2016,2302
55,2017,2330
55,2018,2357
55,2019,2385
56,1961,71800
56,1962,76500
56,1963,74700
56,1964,77400
56,1965,76600
56,1966,77400
56,1967,75000
56,1968,78000
56,1969,84000
56,1970,87050
56,1971,91000
56,1972,95000
56,1973,83200
56,1974,75150
56,1975,68660
56,1976,74918
56,1977,46801
56,1978,60678
56,1979,43445
56,1980,51109
56,1981,31981
56,1982,19410
56,1983,32062
56,1984,52697
56,1985,45149
56,1986,34667
56,1987,37694
56,1988,42461
56,1989,38308
56,1990,35387
56,1991,44977
56,1992,52703
56,1993,31182
56,1994,38489
56,1995,47908
56,1996,41734
56,1997,28872
56,1998,44234
56,1999,52952
56,2000,36817
56,2001,32330
56,2002,32341
56,2003,33894
56,2004,27611
56,2005,36361
56,2006,28741
56,2007,36402
56,2008,38265
56,2009,47147
56,2010,53345
56,2011,46497
56,2012,44489
56,2013,49364
56,2014,44817
56,2015,41311
56,2016,48620
56,2017,48809
56,2018,52760
56,2019,54714
58,1961,22020
58,1962,22595
58,1963,16933
58,1964,15830
58,1965,8263
58,1966,7900
58,1967,7856
58,1968,6740
58,1969,11311
58,1970,10463
58,1971,6831
58,1972,8916
58,1973,8371
58,1974,10617
58,1975,13590
58,1976,16586
58,1977,6285
58,1978,3949
58,1979,4163
58,1980,2705
58,1981,3615
58,1982,5354
58,1983,6546
58,1984,8295
58,1985,4825
58,1986,4506
58,1987,4013
58,1988,6298
58,1989,10568
58,1990,4089
58,1991,1860
58,1992,946
58,1993,1052
58,1994,1665
58,1995,917
58,1996,1377
58,1997,1116
58,1998,577
58,1999,1913
58,2000,998
58,2001,1010
58,2002,3786
58,2003,2009
58,2004,2151
58,2005,4028
58,2006,3000
58,2007,3200
58,2008,3824
58,2009,3600
58,2010,3406
58,2011,3486
58,2012,3594
58,2013,3676
58,2014,3779
58,2015,3931
58,2016,3767
58,2017,3825
58,2018,3872
58,2019,3922
59,1961,87544
59,1962,77423
59,1963,82422
59,1964,88107
59,1965,85729
59,1966,83050
59,1967,68060
59,1968,78000
59,1969,90545
59,1970,85000
59,1971,84000
59,1972,86000
59,1973,60000
59,1974,60000
59,1975,75000
59,1976,69000
59,1977,68488
59,1978,63310
59,1979,103615
59,1980,86243
59,1981,85952
59,1982,124984
59,1983,83000
59,1984,96000
59,1985,132000
59,1986,111000
59,1987,63000
59,1988,116000
59,1989,54731
59,1990,102295
59,1991,127520
59,1992,89815
59,1993,142929
59,1994,152262
59,1995,165016
59,1996,147629
60,1961,220
60,1962,220
60,1963,230
60,1964,230
60,1965,240
60,1966,240
60,1967,250
60,1968,250
60,1969,260
60,1970,260
60,1971,270
60,1972,270
60,1973,280
60,1974,290
60,1975,300
60,1976,300
60,1977,331
60,1978,300
60,1979,300
60,1980,300
60,1981,300
60,1982,300
60,1983,310
60,1984,320
60,1985,330
60,1986,340
60,1987,350
60,1988,360
60,1989,460
60,1990,450
60,1991,445
60,1992,460
60,1993,480
60,1994,490
60,1995,500
60,1996,478
60,1997,350
60,1998,550
60,1999,525
60,2000,548
60,2001,548
60,2002,559
60,2003,569
60,2004,578
60,2005,593
60,2006,598
60,2007,575
60,2008,622
60,2009,636
60,2010,650
60,2011,665
60,2012,700
60,2013,700
60,2014,731
60,2015,720
60,2016,732
60,2017,739
60,2018,750
60,2019,760
61,1961,25000
61,1962,25000
61,1963,25000
61,1964,25000
61,1965,25000
61,1966,25000
61,1967,25000
61,1968,25000
61,1969,27000
61,1970,27000
61,1971,28000
61,1972,24700
61,1973,23000
61,1974,21800
61,1975,21000
61,1976,19700
61,1977,20000
61,1978,19700
61,1979,19800
61,1980,20600
61,1981,21600
61,1982,23000
61,1983,25000
61,1984,25500
61,1985,27500
61,1986,28500
61,1987,29000
61,1988,29500
61,1989,29500
61,1990,30000
61,1991,35000
61,1992,35269
61,1993,35635
61,1994,35782
61,1995,35956
61,1996,36000
61,1997,35000
61,1998,34000
61,1999,36000
61,2000,38702
61,2001,42686
61,2002,46724
61,2003,50812
61,2004,55421
61,2005,61577
61,2006,66533
